sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,102522578894368924515292585851633303580,0.0,1,3458,3458,3957,20 * 20
0,1,80217806516290123753450126772084301313,2.272727272727273,1,4347,4347,5000,20 * 20
0,2,157796621311607940591178131691842608210,4.109589041095891,1,4329,4329,5000,20 * 20
0,3,121199382914417116857768708442603760284,0.0,1,4132,4132,4770,20 * 20
0,4,215014469155044970390232293902461901197,1.6129032258064515,1,4308,4308,5000,20 * 20
0,5,21419831220324265476258232826897321255,0.0,1,3447,3447,4009,20 * 20
0,6,293073180622145204504027679447363424568,0.0,1,3939,3939,4575,20 * 20
0,7,285346510812628044939569775095258904291,1.492537313432836,1,4321,4321,5000,20 * 20
0,8,221160286145353139867054082728929906896,0.0,1,3212,3212,3730,20 * 20
0,9,104038797916624640166067624687440491065,0.0,1,3797,3797,4366,20 * 20
1,0,110720425003348435502525088882916316405,0.0,13,304,349,382,20 * 20
1,1,286665552136150031713006111475188925640,0.0,13,478,517,570,20 * 20
1,2,281478242401577293768416027260752896109,0.0,13,370,425,471,20 * 20
1,3,160902423883747946681217923551396491274,0.0,13,359,387,438,20 * 20
1,4,272719309217744586978888625501506777050,0.0,13,430,464,523,20 * 20
1,5,304552993475719495334726840797771083167,0.0,13,366,392,437,20 * 20
1,6,172305628350340280792592789355312586041,0.0,13,335,370,416,20 * 20
1,7,292996429277864430103862638835163806732,0.0,13,322,346,387,20 * 20
1,8,142930164443437936517534303503803675329,0.0,13,570,603,675,20 * 20
1,9,135698139897567195329307207632949482722,0.0,13,378,405,452,20 * 20
2,0,288873948739446951494537836470878728705,0.0,26,235,259,287,20 * 20
2,1,2068275477360811271551850210789644903,0.0,26,415,447,500,20 * 20
2,2,315116796828704261940915928921899035252,0.0,26,220,244,271,20 * 20
2,3,157485916206756674149192623484646494396,0.0,26,214,250,272,20 * 20
2,4,4395328868990652140241240715876235753,0.0,26,318,344,383,20 * 20
2,5,140024002310509220623189016397751428373,0.0,26,286,316,347,20 * 20
2,6,319537647181720623482497570892883689429,0.0,26,335,374,414,20 * 20
2,7,19449501996796909721550562829552254686,0.0,26,271,299,331,20 * 20
2,8,191420399628567364544797258916951959784,0.0,26,280,313,341,20 * 20
2,9,256506847380683519263628625429993150709,0.0,26,228,261,284,20 * 20
3,0,96814053565580879432166543536936065370,0.0,38,208,241,265,20 * 20
3,1,92428856713511519898712758408007300798,0.0,38,217,253,279,20 * 20
3,2,284617104587411441384085125568171139866,0.0,38,157,191,209,20 * 20
3,3,76718771717230851127858992245439082441,0.0,38,183,211,232,20 * 20
3,4,177958697471192760408853975434310845657,0.0,38,226,257,278,20 * 20
3,5,306623404783985507360843734537078888871,0.0,38,194,218,239,20 * 20
3,6,158316526165938887711241660446027227255,0.0,38,180,207,226,20 * 20
3,7,188214943107425020000740212854694490569,0.0,38,142,162,176,20 * 20
3,8,193257173168921474394179632403888959011,0.0,38,211,246,269,20 * 20
3,9,74180000688784085548409844602919606550,0.0,38,188,209,230,20 * 20
4,0,277058530834238385054071773180867760816,0.0,50,185,209,230,20 * 20
4,1,51754022487423477390778450657599969558,0.0,50,185,216,238,20 * 20
4,2,265175247355049495775963620475218376605,0.0,50,189,216,234,20 * 20
4,3,287694923265416499925264220835265570182,0.0,50,126,149,159,20 * 20
4,4,273072001479720819691289639522237049742,0.0,50,172,198,214,20 * 20
4,5,270325996189560872266668326335795260451,0.0,50,172,199,215,20 * 20
4,6,68033492019379263767632842222292392463,0.0,50,140,165,181,20 * 20
4,7,48378722421249780242141066436349868616,0.0,50,298,328,361,20 * 20
4,8,327360368353573262699922041862587861326,0.0,50,170,194,215,20 * 20
4,9,270385553499175582965421916858897288790,0.0,50,184,216,236,20 * 20
