sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,670262154210861025507947670572206619,64.52054794520548,1,4354,4354,5000,60 * 60
0,1,337509264231268029839624331775782219560,66.62216288384512,1,4382,4382,5000,60 * 60
0,2,281785351892606406670994506194328478893,69.1358024691358,1,4397,4397,5000,60 * 60
0,3,241294294634238741017066208171080418638,65.1063829787234,1,4422,4422,5000,60 * 60
0,4,243343306500723741823782356708386981747,63.79066478076379,1,4408,4408,5000,60 * 60
0,5,192600077377233599268464727104854976521,50.33921302578019,1,4439,4439,5000,60 * 60
0,6,156475727677418081027779549532608091983,73.5251798561151,1,4397,4397,5000,60 * 60
0,7,30206269256766188252942692361222966345,61.96990424076608,1,4419,4419,5000,60 * 60
0,8,122459453126031858541764121279732726608,60.778859527121,1,4395,4395,5000,60 * 60
0,9,92635234477518868192830159826275317550,66.84280052840158,1,4380,4380,5000,60 * 60
1,0,51071297933139874588062752025223923198,25.36231884057971,6,4386,4443,5000,60 * 60
1,1,178365215967355870376205655066751766145,16.643356643356643,6,4382,4439,5000,60 * 60
1,2,185014537253177639094196345224059524570,4.196816208393632,6,4386,4456,5000,60 * 60
1,3,147740727869771584316890147442289759697,9.919571045576408,6,4360,4424,5000,60 * 60
1,4,23922880333063835092502313301305439760,13.714285714285714,6,4359,4449,5000,60 * 60
1,5,298487212803703148940880901510601789056,25.306122448979593,6,4326,4428,5000,60 * 60
1,6,29239464959646563832911532087695596478,10.893854748603353,6,4356,4413,5000,60 * 60
1,7,315750114254359043495874404204580596286,3.125,6,4361,4417,5000,60 * 60
1,8,93016187836396378397292777411243773537,6.934812760055478,6,4330,4440,5000,60 * 60
1,9,28629171295024325550612668163102098620,15.028901734104046,6,4381,4438,5000,60 * 60
2,0,119081640354948909451754540036188049368,4.183535762483131,11,4379,4454,5000,60 * 60
2,1,31902328577401617584751155534422948292,1.0624169986719787,11,4379,4437,5000,60 * 60
2,2,182967969442310961854285660244917514513,0.7062146892655368,11,4382,4439,5000,60 * 60
2,3,37921694259906254475848940600099848387,1.2658227848101267,11,4364,4461,5000,60 * 60
2,4,259971913451055228311435960972037108013,1.4265335235378032,11,4356,4446,5000,60 * 60
2,5,251779239629542308567563433179294644703,4.3478260869565215,11,4364,4449,5000,60 * 60
2,6,181583538780967352729132095563244207670,3.401360544217687,11,4353,4431,5000,60 * 60
2,7,242265607815034161967739906021249173321,1.5384615384615385,11,4344,4457,5000,60 * 60
2,8,315404267089760648173537475222524052026,0.5340453938584779,11,4360,4456,5000,60 * 60
2,9,240312568335743772523102761705935985463,6.6401062416998675,11,4350,4427,5000,60 * 60
3,0,108052470444913172110590249944282364648,0.13850415512465375,16,4342,4456,5000,60 * 60
3,1,290710110561792735527914539920474085593,0.1394700139470014,16,4352,4450,5000,60 * 60
3,2,264017604534455934392295268486999749690,0.1358695652173913,16,4364,4453,5000,60 * 60
3,3,122422887887248633637100688491075501824,0.13368983957219252,16,4360,4453,5000,60 * 60
3,4,121611616972737694800304535702073328037,0.5298013245033113,16,4364,4433,5000,60 * 60
3,5,282693563877213318608245417601477469100,9.39153439153439,16,4370,4451,5000,60 * 60
3,6,294833982761014544515154310877239124933,0.9234828496042217,16,4358,4451,5000,60 * 60
3,7,303386208933103441754889987686995098466,0.423728813559322,16,4367,4430,5000,60 * 60
3,8,292189076842099670046004078836267883112,0.2766251728907331,16,4330,4455,5000,60 * 60
3,9,143000918082918439392496097287967022003,0.4048582995951417,16,4356,4438,5000,60 * 60
4,0,295983965089342865910760037282304696718,0.0,20,4172,4284,4787,60 * 60
4,1,328584953590183405683755891301279287795,0.0,20,3869,3966,4442,60 * 60
4,2,6790434460025633232638381296511575443,0.0,20,3782,3849,4350,60 * 60
4,3,245300422458358150947619618993046598577,0.0,20,3789,3864,4332,60 * 60
4,4,190544521747655928921716213095359768340,0.13986013986013987,20,4357,4464,5000,60 * 60
4,5,215217744150186939988379159866927071325,0.0,20,4193,4292,4814,60 * 60
4,6,302194059628109262604929156442751925250,0.0,20,3825,3915,4390,60 * 60
4,7,215402004530780259455668567140250006777,0.0,20,3185,3266,3670,60 * 60
4,8,49594971915074954671346254585009470808,1.2534818941504178,20,4348,4459,5000,60 * 60
4,9,46945893529913625894025477563440154765,0.14204545454545456,20,4336,4434,5000,60 * 60
