sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,121754975441743654191663716626888162190,55.61643835616438,1,4430,4430,5000,60 * 60
0,1,232702378456848617144617823618618892822,62.869198312236286,1,4480,4480,5000,60 * 60
0,2,2792187022706657878600968481148318216,60.623229461756374,1,4407,4407,5000,60 * 60
0,3,303862300445618377635553575783284449021,65.46463245492372,1,4396,4396,5000,60 * 60
0,4,330590508635582847355014236188733251617,58.309859154929576,1,4396,4396,5000,60 * 60
0,5,340124531892519058202994266284617068121,63.72832369942196,1,4405,4405,5000,60 * 60
0,6,151283247782265737664388805412990919903,72.77936962750717,1,4385,4385,5000,60 * 60
0,7,60300442346505630117072209516407989240,67.58620689655173,1,4361,4361,5000,60 * 60
0,8,327317301268814620833359873876473512209,69.50067476383266,1,4405,4405,5000,60 * 60
0,9,55492532797568769109346321551463868925,55.833333333333336,1,4438,4438,5000,60 * 60
1,0,153413787973856654577328802554245933827,1.2430939226519337,13,4359,4485,5000,60 * 60
1,1,247809823585653626387135100442400121489,2.1306818181818183,13,4378,4455,5000,60 * 60
1,2,58113809114026379935543991565905777749,0.272108843537415,13,4348,4465,5000,60 * 60
1,3,306300518894175820309409453496481671743,0.8086253369272237,13,4357,4451,5000,60 * 60
1,4,316433168010777420548053081188047088428,2.67022696929239,13,4371,4449,5000,60 * 60
1,5,86477908746780019652597161339588830492,0.5633802816901409,13,4347,4444,5000,60 * 60
1,6,66502968611385949929432104695247159647,1.4884979702300405,13,4340,4463,5000,60 * 60
1,7,5484978278243456626921822757490249317,1.0810810810810811,13,4343,4454,5000,60 * 60
1,8,303372083830722734604733543923716890250,0.14705882352941177,13,4367,4453,5000,60 * 60
1,9,329026697872039603598402166467415848498,0.0,13,4065,4182,4692,60 * 60
2,0,136572477416708186410244598549512873186,0.0,26,3175,3261,3647,60 * 60
2,1,318051654303975742362661411736619557200,0.0,26,3405,3541,3961,60 * 60
2,2,26330846419340214542361202671304925826,0.0,26,3770,3861,4347,60 * 60
2,3,78971933218946660279190061141927758261,0.0,26,3541,3643,4097,60 * 60
2,4,25593217234857167213860199282156016294,0.0,26,2859,2950,3314,60 * 60
2,5,62937613455284751510838026783076296569,0.43352601156069365,26,4350,4463,5000,60 * 60
2,6,282169842629368025461864067581006349012,0.0,26,4121,4220,4725,60 * 60
2,7,93663054783508521123577432146840511119,0.0,26,3546,3626,4064,60 * 60
2,8,162751444426405412054268108770598883218,0.0,26,3309,3423,3815,60 * 60
2,9,84480647575202217176221403102938212793,0.0,26,3859,3982,4472,60 * 60
3,0,118880880858637749164273694204438535226,0.0,38,3644,3730,4185,60 * 60
3,1,21915391607867730098830572621353323693,0.0,38,2891,2983,3342,60 * 60
3,2,101181946490218571953900825934186662122,0.0,38,2467,2554,2863,60 * 60
3,3,123568908281770785610841382200209357739,0.0,38,3091,3176,3557,60 * 60
3,4,180284251415812364372930991292502376414,0.0,38,3590,3714,4152,60 * 60
3,5,59044735253634732745777223789868283574,0.0,38,2252,2316,2601,60 * 60
3,6,68168336226749701357040022198068697151,0.0,38,2366,2468,2757,60 * 60
3,7,215220704008002820832556286300783282401,0.0,38,3258,3363,3766,60 * 60
3,8,141366226174425408460777234833951326913,0.0,38,3094,3203,3577,60 * 60
3,9,8021715299521220415963214160271556915,0.0,38,2584,2691,2996,60 * 60
4,0,165067027061962585209864730231722245676,0.0,50,2677,2794,3111,60 * 60
4,1,269105933543722528590611915201228800279,0.0,50,2625,2715,3042,60 * 60
4,2,106741202674689358923788542401282078711,0.0,50,3560,3666,4113,60 * 60
4,3,113056518802973688903253169102577736900,0.0,50,2540,2635,2945,60 * 60
4,4,32003551093409275520139491758292593805,0.0,50,2169,2250,2517,60 * 60
4,5,328036376355396367630817214200425831783,0.0,50,3095,3209,3572,60 * 60
4,6,300679694850691885254950609436743149908,0.0,50,2013,2101,2337,60 * 60
4,7,289078122678096156196758756204257150565,0.0,50,2515,2620,2936,60 * 60
4,8,163833262175070844443415259457920694090,0.0,50,2061,2140,2397,60 * 60
4,9,168591715370871503126436908012446740311,0.0,50,1956,2041,2276,60 * 60
